year,similarity
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.4444444444444444
1979,1.0
1980,1.0
1981,0.9523809523809523
1982,0.9696969696969697
1983,1.0
1984,1.0
1985,0.9795918367346939
1986,1.0
1987,1.0
1988,1.0
1989,1.0
1990,1.0
1991,1.0
1992,1.0
1993,1.0
1994,0.993006993006993
1995,1.0
1996,1.0
1997,1.0
1998,0.9482758620689655
1999,0.9846153846153847
2000,0.9952267303102625
2001,0.9968553459119497
2002,1.0
2003,1.0
2004,1.0
2005,1.0
2006,1.0
2007,0.9966442953020134
2008,0.998730964467005
2009,1.0
2010,0.9954954954954955
2011,1.0
2012,1.0
2013,0.988061797752809
2014,0.6187604690117253
2015,0.22414658634538154
2016,0.15824124147660476
